Websites;;;;;;;
Reference Key;Author(s);Title of Page;Website Name;Publisher;Year Published;URL;Date Accessed
35;NA;Specimen data from the Consortium of California Herbarium;CCH2;CCH2 Portal;2024;https://www.cch2.org/portal/index.php;01.02.2024
36;NA;Index of Botanical Specimens;Harvard University Herbaria & Libraries;Harvard University;2013;https://kiki.huh.harvard.edu/databases/;01.02.2024
37;NA;A Virtual Herbarium of the Chicago Region;vPlants;The vPlants Project;2009;http://www.vplants.org;01.02.2024
38;NA;Great Plains Regional Herbarium Network;ngpherbaria;SEINet Herbarium Network;2024;https://ngpherbaria.org/portal/index.php;01.02.2024
39;NA;The Red de Herbarios Mexicanos;herbanwmex;Arizona State University;2024;https://herbanwmex.net/portal/;01.02.2024
40;"Fuentes, Julián; García, José M.; Vílchez, Jesús ";Flora vascular de andalucia;Florandalucia;Florandalucia;2021;https://www.florandalucia.es/index.php;01.02.2024
Books;;;;;;;
Reference Key;Author(s);Title of Book;Publisher;Year Published;;;
b1;Aeschimann, David and Lauber, Konrad;"Flora alpina: ein Atlas s{\""a}mtlicher 4500 Gef{\""a}{\ss}pflanzen der Alpen.";Haupt Verlag;2004;;;
b2;Castroviejo, S., and co.;Iberian flura;Real Jardín Botanical, CSIC, Madrid;1993;;;
b3;Begley, Ph. D.;Plants of Northern California: A Field Guide to Plants West of the Sierra Nevada. ;Rowman & Littlefield;2018;;;
b4;Government of the Republic of Indonesia;Tropical Rainforest Heritage of Sumatra;UNESCO;2004;;;
Papers;;;;;;;
Reference Key;Bibliography;;;;;;
p1;Shabir, M., Agnihotri, P., Tiwari, J. K., & Husain, T. (2018). Gentiana aperta (Gentianaceae) - a new record to India from Ladakh Himalaya. Journal of Threatened Taxa, 10(9), 12286–12289. https://doi.org/10.11609/jott.4233.10.9.12286-12289;;;;;;
p2;Alaoui Haroni, S., Alifriqui, M. & Simonneaux, V. Recent dynamics of the wet pastures at Oukaimeden plateau (High Atlas mountains, Morroco). Biodivers Conserv 18, 167–189 (2009). https://doi.org/10.1007/s10531-008-9465-6;;;;;;
p3;Zhang, X.-L., Yuan, Y.-M., & Ge, X.-J. (2007). Genetic structure and differentiation of Gentiana atuntsiensis W. W. Smith and G. striolata T. N. Ho (Gentianaceae) as revealed by ISSR markers. Botanical Journal of the Linnean Society, 154(2), 225–232. https://doi.org/10.1111/j.1095-8339.2007.00635.x;;;;;;
p4;Mao, J., Liang, Y., Wang, X., & Zhang, D. (2023). Comparison of plastid genomes and ITS of two sister species in Gentiana and a discussion on potential threats for the endangered species from hybridization. BMC plant biology, 23(1), 101. https://doi.org/10.1186/s12870-023-04088-z;;;;;;
p5;Shabir, Mohd. (2019). On the Occurrence of Gentiana cephalodes (Gentianaceae) in Garhwal Himalaya, India. https://www.researchgate.net/publication/338255510_On_the_Occurrence_of_Gentiana_cephalodes_Gentianaceae_in_Garhwal_Himalaya_India ;;;;;;
p6;Pringle, J. S., & Weakley, A. S. (2009). GENTIANA LATIDENS (GENTIANACEAE), THE BALSAM MOUNTAIN GENTIAN. Rhodora, 111(947), 389–397. http://www.jstor.org/stable/23314243;;;;;;
p7;Ni, L., Li, W., Zhao, Z., Gaawe, D., & Liu, T. (2022). Migration patterns of Gentiana crassicaulis, an alpine gentian endemic to the Himalaya-Hengduan Mountains. Ecology and evolution, 12(3), e8703. https://doi.org/10.1002/ece3.8703;;;;;;
p8;Smith, H. (1957). Two New Gentians from Eastern N. Guinea. Kew Bulletin, 12(2), 225–227. https://doi.org/10.2307/4114410;;;;;;
p9;Zhang M, Jiang D, Yang M, Ma T, Ding F, Hao M, Chen Y, Zhang C, Zhang X and Li M (2021) Influence of the Environment on the Distribution and Quality of Gentiana dahurica Fisch.. Front. Plant Sci. 12:706822. doi: 10.3389/fpls.2021.706822;;;;;;
p10;Chih-Hsiung Chen & Jenn-Che Wang (1999). Revision of the genus Gentiana L. (Gentianaceae) in Taiwan. Bot. Bull. Acad. Sin. 40: 9-38;;;;;;
p11;Fu, P. C., Ya, H. Y., Liu, Q. W., Cai, H. M., & Chen, S. L. (2018). Out of Refugia: Population Genetic Structure and Evolutionary History of the Alpine Medicinal Plant Gentiana lawrencei var. farreri (Gentianaceae). Frontiers in genetics, 9, 564. https://doi.org/10.3389/fgene.2018.00564;;;;;;
p12;Smith, J.M.B. (1980), THE VEGETATION OF THE SUMMIT ZONE OF MOUNT KINABALU. New Phytologist, 84: 547-573. https://doi.org/10.1111/j.1469-8137.1980.tb04562.x;;;;;;
p13;Dey, Sentu & Maity, Debabrata & Pringle, James. (2015). Infraspecific Variation in Gentiana macrauchena (Gentianaceae), the Extension of its Known Range to India and Lectotypification of the Name Gentiana incompta. Taiwania. 60. 208-217. 10.6165/tai.2015.60.208. ;;;;;;
p14;Zou H, Chen B, Zhang B, Zhou X, Zhang X, Zhang X and Wang J (2023) Conservation planning for the endemic and endangered medicinal plants under the climate change and human disturbance: a case study of Gentiana manshurica in China. Front. Plant Sci. 14:1184556. doi: 10.3389/fpls.2023.1184556;;;;;;
p15;Herrera, M., Yu ???, F.-Q., Ramos-Rendón, D., Martínez-Reyes, M., Hernandez, F., & Perez, J. (2021). Morphoanatomical and phylogenetic characterization of the ectomycorrhiza between Laccaria squarrosa with Pinus pseudostrobus and its relevance for reforestation programs. Botanical Sciences, 1. https://doi.org/10.17129/botsci.2830;;;;;;
p16;Dey, Sentu & Maity, Debabrata. (2015). Gentiana oreodoxa Harry Smith (Gentianaceae): note on its rarity and occurrence in India. ;;;;;;
p17;Mukhanov, V. S., Litvinyuk, D. A., Sakhon, E. G., Bagaev, A. V., Veerasingam, S., & Venkatachalapathy, R. (2019). A new method for analyzing microplastic particle size distribution in marine environmental samples. Ecologica Montenegrina, 23, 77–86. https://doi.org/10.37828/em.2019.23.10;;;;;;
p18;Wilford, R. (2017), 859. GENTIANA PARADOXA. Curtis's Botanical Magazine, 34: 51-57. https://doi.org/10.1111/curt.12179;;;;;;
p19;Mo, L., Luo, P., Mou, C., Yang, H., Wang, J., Wang, Z., Li, Y., Luo, C., Li, T., & Zuo, D. (2018). Winter plant phenology in the alpine meadow on the eastern Qinghai–Tibetan Plateau. Annals of Botany, 122(6), 1033–1045. https://doi.org/10.1093/aob/mcy112;;;;;;
